hours_of_studying,grade
655.5,219.5
656,219.6666667
656.5,219.8333333
657,220
657.5,220.1666667
658,220.3333333
658.5,220.5
659,220.6666667
659.5,220.8333333
660,221
660.5,221.1666667
661,221.3333333
661.5,221.5
662,221.6666667
662.5,221.8333333
663,222
663.5,222.1666667
664,222.3333333
664.5,222.5
665,222.6666667
665.5,222.8333333
666,223
666.5,223.1666667
667,223.3333333
667.5,223.5
668,223.6666667
668.5,223.8333333
669,224
669.5,224.1666667
670,224.3333333
670.5,224.5
671,224.6666667
671.5,224.8333333
672,225
672.5,225.1666667
673,225.3333333
673.5,225.5
674,225.6666667
674.5,225.8333333
675,226
675.5,226.1666667
676,226.3333333
676.5,226.5
677,226.6666667
677.5,226.8333333
678,227
678.5,227.1666667
679,227.3333333
679.5,227.5
680,227.6666667
680.5,227.8333333
681,228
681.5,228.1666667
682,228.3333333
682.5,228.5
683,228.6666667
683.5,228.8333333
684,229
684.5,229.1666667
685,229.3333333
685.5,229.5
686,229.6666667
686.5,229.8333333
687,230
687.5,230.1666667
688,230.3333333
688.5,230.5
689,230.6666667
689.5,230.8333333
690,231
690.5,231.1666667
691,231.3333333
691.5,231.5
692,231.6666667
692.5,231.8333333
693,232
693.5,232.1666667
694,232.3333333
694.5,232.5
695,232.6666667
695.5,232.8333333
696,233
696.5,233.1666667
697,233.3333333
697.5,233.5
698,233.6666667
698.5,233.8333333
699,234
699.5,234.1666667
700,234.3333333
700.5,234.5
701,234.6666667
701.5,234.8333333
702,235
702.5,235.1666667
703,235.3333333
703.5,235.5
704,235.6666667
704.5,235.8333333
705,236
705.5,236.1666667
706,236.3333333
706.5,236.5
707,236.6666667
707.5,236.8333333
708,237
708.5,237.1666667
709,237.3333333
709.5,237.5
710,237.6666667
710.5,237.8333333
711,238
711.5,238.1666667
712,238.3333333
712.5,238.5
713,238.6666667
713.5,238.8333333
714,239
714.5,239.1666667
715,239.3333333
715.5,239.5
716,239.6666667
716.5,239.8333333
717,240
717.5,240.1666667
718,240.3333333
718.5,240.5
719,240.6666667
719.5,240.8333333
720,241
720.5,241.1666667
721,241.3333333
721.5,241.5
722,241.6666667
722.5,241.8333333
723,242
723.5,242.1666667
724,242.3333333
724.5,242.5
725,242.6666667
725.5,242.8333333
726,243
726.5,243.1666667
727,243.3333333
727.5,243.5
728,243.6666667
728.5,243.8333333
729,244
729.5,244.1666667
730,244.3333333
730.5,244.5
731,244.6666667
731.5,244.8333333
732,245
732.5,245.1666667
733,245.3333333
733.5,245.5
734,245.6666667
734.5,245.8333333
735,246
735.5,246.1666667
736,246.3333333
736.5,246.5
737,246.6666667
737.5,246.8333333
738,247
738.5,247.1666667
739,247.3333333
739.5,247.5
740,247.6666667
740.5,247.8333333
741,248
741.5,248.1666667
742,248.3333333
742.5,248.5
743,248.6666667
743.5,248.8333333
744,249
744.5,249.1666667
745,249.3333333
745.5,249.5
746,249.6666667
746.5,249.8333333
747,250
747.5,250.1666667
748,250.3333333
748.5,250.5
749,250.6666667
749.5,250.8333333
750,251
750.5,251.1666667
751,251.3333333
751.5,251.5
752,251.6666667
752.5,251.8333333
753,252
753.5,252.1666667
754,252.3333333
754.5,252.5
755,252.6666667
755.5,252.8333333
756,253
756.5,253.1666667
757,253.3333333
757.5,253.5
758,253.6666667
758.5,253.8333333
759,254
759.5,254.1666667
760,254.3333333
760.5,254.5
761,254.6666667
761.5,254.8333333
762,255
762.5,255.1666667
763,255.3333333
763.5,255.5
764,255.6666667
764.5,255.8333333
765,256
765.5,256.1666667
766,256.3333333
766.5,256.5
767,256.6666667
767.5,256.8333333
768,257
768.5,257.1666667
769,257.3333333
769.5,257.5
770,257.6666667
770.5,257.8333333
771,258
771.5,258.1666667
772,258.3333333
772.5,258.5
773,258.6666667
773.5,258.8333333
774,259
774.5,259.1666667
775,259.3333333
775.5,259.5
776,259.6666667
776.5,259.8333333
777,260
777.5,260.1666667
778,260.3333333
778.5,260.5
779,260.6666667
779.5,260.8333333
780,261
780.5,261.1666667
781,261.3333333
781.5,261.5
782,261.6666667
782.5,261.8333333
783,262
783.5,262.1666667
784,262.3333333
784.5,262.5
785,262.6666667
785.5,262.8333333
786,263
786.5,263.1666667
787,263.3333333
787.5,263.5
788,263.6666667
788.5,263.8333333
789,264
789.5,264.1666667
790,264.3333333
790.5,264.5
791,264.6666667
791.5,264.8333333
792,265
792.5,265.1666667
793,265.3333333
793.5,265.5
794,265.6666667
794.5,265.8333333
795,266
795.5,266.1666667
796,266.3333333
796.5,266.5
797,266.6666667
797.5,266.8333333
798,267
798.5,267.1666667
799,267.3333333
799.5,267.5
800,267.6666667
800.5,267.8333333
801,268
801.5,268.1666667
802,268.3333333
802.5,268.5
803,268.6666667
803.5,268.8333333
804,269
804.5,269.1666667
805,269.3333333
805.5,269.5
806,269.6666667
806.5,269.8333333
807,270
807.5,270.1666667
808,270.3333333
808.5,270.5
809,270.6666667
809.5,270.8333333
810,271
810.5,271.1666667
811,271.3333333
811.5,271.5
812,271.6666667
812.5,271.8333333
813,272
813.5,272.1666667
814,272.3333333
814.5,272.5
815,272.6666667
815.5,272.8333333
816,273
816.5,273.1666667
817,273.3333333
817.5,273.5
818,273.6666667
818.5,273.8333333
819,274
819.5,274.1666667
820,274.3333333
820.5,274.5
821,274.6666667
821.5,274.8333333
822,275
822.5,275.1666667
823,275.3333333
823.5,275.5
824,275.6666667
824.5,275.8333333
825,276
825.5,276.1666667
826,276.3333333
826.5,276.5
827,276.6666667
827.5,276.8333333
828,277
828.5,277.1666667
829,277.3333333
829.5,277.5
830,277.6666667
830.5,277.8333333
831,278
831.5,278.1666667
832,278.3333333
832.5,278.5
833,278.6666667
833.5,278.8333333
834,279
834.5,279.1666667
835,279.3333333
835.5,279.5
836,279.6666667
836.5,279.8333333
837,280
837.5,280.1666667
838,280.3333333
838.5,280.5
839,280.6666667
839.5,280.8333333
840,281
840.5,281.1666667
841,281.3333333
841.5,281.5
842,281.6666667
842.5,281.8333333
843,282
843.5,282.1666667
844,282.3333333
844.5,282.5
845,282.6666667
845.5,282.8333333
846,283
846.5,283.1666667
847,283.3333333
847.5,283.5
848,283.6666667
848.5,283.8333333
849,284
849.5,284.1666667
850,284.3333333
850.5,284.5
851,284.6666667
851.5,284.8333333
852,285
852.5,285.1666667
853,285.3333333
853.5,285.5
854,285.6666667
854.5,285.8333333
855,286
855.5,286.1666667
856,286.3333333
856.5,286.5
857,286.6666667
857.5,286.8333333
858,287
858.5,287.1666667
859,287.3333333
859.5,287.5
860,287.6666667
860.5,287.8333333
861,288
861.5,288.1666667
862,288.3333333
862.5,288.5
863,288.6666667
863.5,288.8333333
864,289
864.5,289.1666667
865,289.3333333
865.5,289.5
866,289.6666667
866.5,289.8333333
867,290
867.5,290.1666667
868,290.3333333
868.5,290.5
869,290.6666667
869.5,290.8333333
870,291
870.5,291.1666667
871,291.3333333
871.5,291.5
872,291.6666667
872.5,291.8333333
873,292
